Course,Sec,Enrolled,Instructor(1),Instructor(2),Time,Place,TA's
CS 98,35,0,Björn Hartmann,"Elizabeth Lin, Shana Hu",W 7:00-9:00P,299 Cory
CS 98,36,0,Abhay Parekh,"Kyle Lian, Dylan Paddock",F 3:00-6:00P,203 Wheeler
CS 98,37,0,Pieter Abbeel,"Kate Lee, Bryan Munar, Douglas Kim",M 5:00-7:00P,166 Barrows
CS 98,40,0,Pieter Abbeel,Michael Lannin,M 6:00-8:00P,405 Soda
CS 152,1,50,John Lazzaro,"",TuTh 9:30-11:00A,306 Soda,Eric Love
CS 160,1,25,Maneesh Agrawala,Björn Hartmann,MW 5:30-7:00P,306 Soda, 
CS 161,1,383,David Wagner,"",MWF 3:00-4:00P,2050 VLSB, 
CS 162,1,258,Anthony D. Joseph,"",MW 4:00-5:30P,245 Li Ka Shing, 
CS 164,1,104,Koushik Sen,"",MW 10:30-12:00P,306 Soda, 
CS 169,1,108,George Necula,"",MW 9:00-10:30A,306 Soda, 
CS 170,1,437,Elchanan Mossel,"",TuTh 5:00-6:30P,2050 VLSB, 
CS 174,1,50,Guy Kindler,"",MW 1:00-2:30P,310 Soda, 
CS 184,1,106,James O'Brien,"",MW 1:00-2:30P,306 Soda, 
CS 186,1,108,"OLTEANU, D","",TuTh 11:00-12:30P,306 Soda, 
CS 188,1,445,Pieter Abbeel,"",TuTh 12:30-2:00P,2050 VLSB, 
CS 189,1,120,Alexei (Alyosha) Efros,Jitendra Malik,TuTh 2:00-3:30P,100 GPB, 
CS 194,16,53,Michael Franklin,"",M 5:30-8:30P,145 Moffitt
CS 194,24,25,John D. Kubiatowicz,"",MW 2:30-4:00P,306 Soda
CS 195,1,164,Ruzena Bajcsy,"",Tu 3:30-5:00P,1 Le Conte
CS H195,1,16,Ruzena Bajcsy,"",Tu 3:30-5:00P,1 Le Conte,Ruzena Bajcsy
CS H196A,1,UNKNOWN,David E. Culler,"",UNSCHED, 
CS H196B,1,UNKNOWN,David E. Culler,"",UNSCHED, 
CS 198,1,38,Dan Garcia,"",TuTh 5:00-7:00P,200 Sutardja Dai
CS 198,2,10,Dan Garcia,"",MWF 1:00-2:00P,606 Soda
CS 198,3,2,Dan Garcia,"",TuTh 7:00-9:00P,200 Sutardja Dai
CS 198,32,0,Björn Hartmann,"Shawn H Park, Kevin Liang and Jeff Zhan",Th 7:00-9:00P,60 Evans
CS 198,34,0,Björn Hartmann,"Elizabeth Lin, Shana Hu",TU 7:00-9:00P,293 Cory
CS 198,35,0,Björn Hartmann,"Elizabeth Lin, Shana Hu",W 7:00-9:00P,293 Cory
CS 198,36,0,Abhay Parekh,"Kyle Lian, Dylan Paddock",F 3:00-6:00P,203 Wheeler
CS 198,37,0,Pieter Abbeel,"Kate Lee, Bryan Munar, Douglas Kim",M 5:00-7:00P,166 Barrows
CS 198,40,0,Pieter Abbeel,Michael Lannin,M 6:00-8:00P,405 Soda
CS C219D,1,6,Edward A. Lee,"",TuTh 2:00-3:30P,293 Cory
CS 252,1,22,Krste Asanović,"",MW 10:30-12:00P,320 Soda
CS 260A,1,9,Maneesh Agrawala,Björn Hartmann,MW 2:30-4:00P,306 Soda
CS 261N,1,13,Vern Paxson,"",TuTh 12:30-2:00P,310 Soda
CS 263,1,19,George Necula,"",MW 1:00-2:30P,320 Soda
CS C267,1,44,James Demmel,"",TuTh 12:30-2:00P,306 Soda
CS 268,1,12,Sylvia Ratnasamy,"",MW 2:30-4:00P,320 Soda
CS 278,1,21,Prasad Raghavendra,"",TuTh 3:30-5:00P,320 Soda
CS C281A,1,82,Michael Jordan,"",TuTh 9:30-11:00A,100 GPB
CS C281B,1,25,Peter Bartlett,"",TuTh 12:30-2:00P,334 Evans
CS 284A,1,0,James O'Brien,"", , 
CS 289A,1,10,Alexei (Alyosha) Efros,Jitendra Malik,TuTh 2:00-3:30P,100 GPB
CS 294,16,0,Michael Franklin,"",M 5:30-8:30P,145 Moffitt
CS 294,17,36,Christos Papadimitriou,"",Tu 5:00-7:00P,320 Soda
CS 294,43,19,Trevor Darrell,"",F 10:00A-12:00P,750 Sutardja Dai
